20110422,1
20110428,1
20110429,1
20110506,1
20110509,2
20110512,2
20110515,1
20110521,1
20110524,1
20110525,1
20110529,1
20110531,1
20110601,1
20110602,3
20110603,5
20110605,2
20110606,5
20110607,6
20110611,4
20110612,1
20110617,1
20110618,1
20110626,1
20110705,2
20110709,1
20110718,1
20110728,1
20110803,2
20110806,1
20110808,2
20110812,1
20110813,1
20110818,1
20110826,1
20110901,1
20110910,1
20110919,1
20110922,1
20111020,1
20111028,1
20111116,1
20111125,1
20111128,1
20111219,1
20111231,1
20120104,1
20120105,1
20120111,1
20120114,1
20120128,1
20120201,1
20120207,1
20120223,1
20120606,1
20120610,1
20120614,1
20120618,1
20120626,1
20120703,1
20120711,1
20120715,1
20120723,1
20120731,1
20120801,1
20120810,1
20120814,1
20120815,1
20120819,2
20120823,1
20120902,1
20120904,1
20120913,1
20120918,1
20121001,1
20121027,1
20121103,1
20121116,1
20121130,1
20121207,1
20121211,1
20121219,1
20121231,1
20130104,1
20130107,1
20130116,1
20130117,1
20130121,1
20130123,1
20130126,1
20130128,1
20130129,1
20130201,1
20130203,1
20130205,1
20130207,1
20130208,1
20130209,1
20130211,1
20130214,3
20130219,2
20130220,1
20130226,1
20130228,2
20130301,2
20130303,1
20130304,1
20130305,4
20130306,1
20130307,1
20130308,2
20130309,3
20130311,2
20130313,3
20130318,5
20130319,7
20130320,5
20130321,7
20130324,8
20130325,2
20130326,5
20130327,10
20130329,5
20130330,1
20130331,11
20130401,14
20130402,17
20130404,10
20130405,1
20130406,19
20130407,26
20130408,42
20130416,25
20130417,16
20130418,9
20130419,9
20130421,8
20130422,16
20130423,11
20130427,6
20130428,10
20130503,15
20130504,3
20130507,3
20130509,5
20130512,3
20130514,3
20130515,4
20130516,6
20130520,1
20130521,1
20130522,2
20130523,7
20130525,2
20130528,3
20130604,1
20130609,6
20130610,3
20130616,2
20130617,5
20130618,1
20130619,3
20130624,1
20130625,1
20130629,3
20130701,2
20130703,1
20130705,1
20130706,7
20130708,1
20130709,11
20130710,1
20130711,5
20130712,4
20130714,5
